"여가공간코드","여가공간유형"
"1","문예회관"
"2","지방문화원"
"3","문화의집"
"4","생활문화센터"
"5","사설문화센터"
"6","미술관"
"7","박물관"
"8","전시관"
"9","기념관"
"10","공연장"
"11","영화관"
"12","도서관"
"13","대형서점"
"14","주민자치센터"
"15","여성회관"
"16","마을회관"
"17","사회복지관"
"18","노인복지회관"
"19","평생학습관"
"20","학교시설"
"21","학원(어학,기술 등자격증취득 등)"
"22","노래방"
"23","PC방(복합멀티게임방)"
"24","만화방"
"25","오락장(아케이드게임방, 카지노 등)"
"26","클럽(댄스포함)"
"27","찜질방"
"28","목욕탕(사우나, 온천 등)"
"29","미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)"
"30","수족관"
"31","쇼핑몰(백화점등)"
"32","카페(커피숍, 방탈출, VR카페, 이색 테마카페 등)"
"33","대형마트"
"34","식당(패밀리레스토랑, 주점 등)"
"35","국민체육센터(주민체육센터,올림픽체육센터)"
"36","청소년수련관"
"37","농어촌복합체육시설"
"38","복합체육관"
"39","헬스클럽"
"40","골프연습장(스크린골프장)"
"41","수영장"
"42","당구장"
"43","빙상경기장(아이스링크)"
"44","기타 실내 체육시설"
"45","종교시설(교회, 절, 성당 등)"
"46","위에서 분류되지 않은 기타 실내공간"
"47","운동경기장(축구, 농구, 야구 등)"
"48","학교운동장"
"49","리조트"
"50","스키장"
"51","골프장"
"52","기타 실외 체육시설"
"53","생활권공원(근린공원, 소공원, 어린이공원 등)"
"54","주제공원(역사공원, 수변공원, 체육공원 등)"
"55","유원지"
"56","테마파크"
"57","역사/문화유적지(고궁, 민속촌, 고적지 등)"
"58","동물원"
"59","식물원"
"60","해수욕장"
"61","농산어촌체험장"
"62","삼림욕장"
"63","산(국/도립공원등자연공원포함)"
"64","캠핑장"
"65","복합문화거리(인사동, 명동, 홍대, 신촌 등)"
"66","경마/경정/경륜장"
"67","낚시터"
"68","재래시장"
"69","아파트 내(집주변)공터"
"70","위에서 분류되지 않은 기타 실외공간"
"99","모름/무응답"
